id;person_id1;person_id2;amount;;;('884-38-3542', '776-52-9204') - 500 
595;322-84-0335;776-52-9204;860,00;;;
596;652-85-6112;815-75-0678;785,00;;;
597;879-10-1534;869-07-9041;460,00;;;
598;653-73-2887;685-29-3762;484,00;;;
599;848-01-9094;289-48-9142;815,00;;;
600;711-12-7607;440-96-4450;718,00;;;
601;897-83-6353;542-47-0145;119,00;;;
602;276-64-0016;869-07-9041;923,00;;;
603;211-62-3861;182-91-9414;300,00;;;
604;316-16-8079;665-74-7482;129,00;;;
605;685-29-3762;312-06-7133;938,00;;;
606;267-02-2620;577-36-4160;735,00;;;
607;266-07-5848;395-96-3422;155,00;;;
608;711-12-7607;381-51-7467;635,00;;;
609;736-74-0267;652-85-6112;376,00;;;
610;484-97-3669;653-73-2887;189,00;;;
611;266-07-5848;815-75-0678;220,00;;;
612;293-16-7638;736-74-0267;421,00;;;
613;616-64-4164;280-72-2823;350,00;;;
614;897-83-6353;711-12-7607;331,00;;;
615;652-85-6112;746-67-6269;880,00;;;
616;276-64-0016;592-89-3532;959,00;;;
617;322-84-0335;782-21-0023;809,00;;;
618;322-84-0335;147-58-0553;503,00;;;
619;267-84-4305;653-73-2887;522,00;;;
620;643-85-8364;318-72-3945;355,00;;;
621;194-28-1044;844-81-0333;591,00;;;
622;276-64-0016;230-71-0031;110,00;;;
623;776-52-9204;418-32-2400;883,00;;;
624;363-69-7373;381-51-7467;164,00;;;
625;664-94-4158;645-83-0179;357,00;;;
626;194-28-1044;737-39-6279;108,00;;;
627;183-60-8437;585-26-7329;203,00;;;
628;776-52-9204;440-96-4450;68,00;;;
629;604-17-4858;276-64-0016;349,00;;;
630;867-72-5617;811-29-1135;761,00;;;
631;869-07-9041;267-84-4305;630,00;;;
632;423-59-5269;137-59-6823;235,00;;;
633;542-47-0145;776-97-0801;385,00;;;
634;500-80-0113;473-92-2173;343,00;;;
635;816-07-9951;505-06-4182;885,00;;;
636;363-69-7373;737-39-6279;294,00;;;
637;178-82-4865;746-67-6269;537,00;;;
638;418-32-2400;380-33-3471;696,00;;;
639;610-96-4049;811-96-4434;999,00;;;
640;266-07-5848;610-96-4049;208,00;;;
641;848-01-9094;776-97-0801;206,00;;;
642;616-64-4164;440-96-4450;684,00;;;
643;194-28-1044;114-77-8561;274,00;;;
644;231-62-0816;505-06-4182;168,00;;;
645;178-82-4865;745-18-6689;713,00;;;
646;542-47-0145;187-44-4055;888,00;;;
647;395-96-3422;307-86-4146;320,00;;;
648;106-52-3658;811-29-1135;556,00;;;
649;776-52-9204;701-29-0287;180,00;;;
650;815-75-0678;194-28-1044;100,00;;;
651;577-36-4160;500-80-0113;735,00;;;
652;815-75-0678;815-75-0678;351,00;;;
653;280-72-2823;448-98-4201;208,00;;;
654;610-96-4049;700-19-8202;282,00;;;
655;462-20-3505;114-77-8561;262,00;;;
656;857-48-4236;423-59-5269;583,00;;;
657;827-17-8065;500-80-0113;760,00;;;
658;506-40-7881;106-52-3658;582,00;;;
659;867-72-5617;267-84-4305;956,00;;;
660;643-85-8364;643-85-8364;353,00;;;
661;500-80-0113;664-94-4158;854,00;;;
662;307-86-4146;827-17-8065;106,00;;;
663;751-79-3881;869-07-9041;93,00;;;
664;187-44-4055;500-80-0113;936,00;;;
665;701-29-0287;133-42-9805;872,00;;;
666;664-94-4158;884-38-3542;331,00;;;
667;751-79-3881;484-85-3577;430,00;;;
668;322-84-0335;711-12-7607;59,00;;;
669;827-17-8065;508-38-2534;981,00;;;
670;187-44-4055;183-60-8437;252,00;;;
671;505-06-4182;816-07-9951;737,00;;;
672;187-44-4055;312-06-7133;560,00;;;
673;182-91-9414;737-39-6279;796,00;;;
674;267-02-2620;643-85-8364;788,00;;;
675;462-20-3505;114-49-3228;62,00;;;
676;114-77-8561;585-26-7329;253,00;;;
677;884-38-3542;857-48-4236;940,00;;;
678;827-17-8065;746-67-6269;648,00;;;
679;542-47-0145;726-98-9896;551,00;;;
680;776-52-9204;592-89-3532;843,00;;;
681;484-85-3577;751-79-3881;980,00;;;
682;484-85-3577;815-75-0678;875,00;;;
683;816-07-9951;685-29-3762;804,00;;;
684;180-68-7704;542-47-0145;365,00;;;
685;114-49-3228;266-07-5848;410,00;;;
686;652-88-6983;751-79-3881;594,00;;;
687;782-21-0023;395-96-3422;297,00;;;
688;395-96-3422;423-59-5269;794,00;;;
689;726-98-9896;316-16-8079;110,00;;;
690;106-52-3658;380-33-3471;281,00;;;
691;380-33-3471;604-17-4858;678,00;;;
692;505-06-4182;440-96-4450;212,00;;;
693;147-58-0553;133-42-9805;963,00;;;
694;533-01-1119;329-95-9039;570,00;;;
695;746-67-6269;363-69-7373;200,00;;;
696;711-12-7607;395-96-3422;441,00;;;
697;462-20-3505;643-85-8364;58,00;;;
698;711-12-7607;484-97-3669;609,00;;;
699;645-83-0179;211-62-3861;849,00;;;
700;726-98-9896;322-84-0335;572,00;;;
701;266-07-5848;665-74-7482;85,00;;;
702;289-48-9142;857-48-4236;532,00;;;
703;266-07-5848;363-69-7373;471,00;;;
704;816-07-9951;737-39-6279;878,00;;;
705;811-29-1135;665-74-7482;852,00;;;
706;178-82-4865;722-67-8736;344,00;;;
707;363-69-7373;230-71-0031;651,00;;;
708;776-97-0801;701-29-0287;767,00;;;
709;737-39-6279;685-29-3762;884,00;;;
710;127-07-1934;452-71-0670;159,00;;;
711;187-44-4055;380-33-3471;371,00;;;
712;178-82-4865;114-77-8561;326,00;;;
713;484-97-3669;736-74-0267;106,00;;;
714;280-72-2823;542-47-0145;336,00;;;
715;776-52-9204;194-28-1044;584,00;;;
716;830-73-2137;577-36-4160;629,00;;;
717;726-98-9896;830-73-2137;926,00;;;
718;542-47-0145;505-06-4182;368,00;;;
719;322-84-0335;844-81-0333;720,00;;;
720;897-83-6353;736-74-0267;382,00;;;
721;700-19-8202;610-96-4049;832,00;;;
722;127-07-1934;178-82-4865;236,00;;;
723;653-73-2887;114-77-8561;881,00;;;
724;645-83-0179;267-84-4305;668,00;;;
725;645-83-0179;701-29-0287;616,00;;;
726;231-62-0816;380-33-3471;595,00;;;
727;114-49-3228;316-16-8079;875,00;;;
728;722-41-3663;811-96-4434;493,00;;;
729;267-84-4305;616-64-4164;662,00;;;
730;533-01-1119;147-58-0553;820,00;;;
731;827-17-8065;722-41-3663;60,00;;;
732;554-99-3518;751-79-3881;202,00;;;
733;452-71-0670;133-42-9805;773,00;;;
734;616-64-4164;289-48-9142;433,00;;;
735;267-84-4305;106-52-3658;959,00;;;
736;827-17-8065;508-38-2534;767,00;;;
737;289-48-9142;811-29-1135;121,00;;;
738;133-42-9805;137-59-6823;746,00;;;
739;137-59-6823;231-62-0816;767,00;;;
740;276-64-0016;533-01-1119;848,00;;;
741;380-33-3471;610-96-4049;966,00;;;
742;359-33-2805;266-07-5848;608,00;;;
743;418-32-2400;230-71-0031;166,00;;;
744;363-69-7373;381-51-7467;91,00;;;
745;231-60-2925;776-97-0801;370,00;;;
746;505-06-4182;230-71-0031;986,00;;;
747;468-77-4288;751-79-3881;722,00;;;
748;604-17-4858;782-21-0023;358,00;;;
749;329-95-9039;211-62-3861;630,00;;;
750;577-36-4160;500-80-0113;287,00;;;
751;359-33-2805;106-52-3658;908,00;;;
752;194-28-1044;848-01-9094;443,00;;;
753;722-41-3663;267-02-2620;131,00;;;
754;685-29-3762;664-94-4158;788,00;;;
755;838-85-9491;127-07-1934;534,00;;;
756;745-18-6689;867-72-5617;319,00;;;
757;616-64-4164;231-60-2925;282,00;;;
758;267-02-2620;827-17-8065;115,00;;;
759;701-29-0287;133-42-9805;383,00;;;
760;363-69-7373;211-62-3861;449,00;;;
761;814-47-7782;604-17-4858;625,00;;;
762;114-49-3228;132-36-8264;803,00;;;
763;811-96-4434;318-72-3945;908,00;;;
764;182-91-9414;776-97-0801;520,00;;;
765;811-96-4434;664-94-4158;965,00;;;
766;194-28-1044;312-06-7133;661,00;;;
767;137-59-6823;782-21-0023;174,00;;;
768;267-02-2620;462-20-3505;969,00;;;
769;869-07-9041;869-07-9041;295,00;;;
770;147-58-0553;230-71-0031;277,00;;;
771;381-51-7467;838-85-9491;618,00;;;
772;645-83-0179;533-01-1119;528,00;;;
773;585-26-7329;440-96-4450;796,00;;;
774;106-52-3658;869-07-9041;377,00;;;
775;468-77-4288;701-29-0287;875,00;;;
776;508-38-2534;645-83-0179;392,00;;;
777;685-29-3762;440-96-4450;106,00;;;
778;838-85-9491;665-74-7482;481,00;;;
779;746-67-6269;776-97-0801;724,00;;;
780;147-58-0553;468-77-4288;789,00;;;
781;316-16-8079;280-72-2823;128,00;;;
782;316-16-8079;137-59-6823;878,00;;;
783;132-36-8264;643-85-8364;660,00;;;
784;838-85-9491;745-18-6689;452,00;;;
785;363-69-7373;776-52-9204;890,00;;;
786;737-39-6279;585-26-7329;392,00;;;
787;182-91-9414;133-42-9805;89,00;;;
788;701-29-0287;844-81-0333;886,00;;;
789;827-17-8065;616-64-4164;857,00;;;
790;329-95-9039;814-47-7782;479,00;;;
791;211-62-3861;533-01-1119;895,00;;;
792;737-39-6279;665-74-7482;374,00;;;
793;133-42-9805;811-29-1135;393,00;;;
794;664-94-4158;380-33-3471;784,00;;;
795;751-79-3881;137-59-6823;635,00;;;
796;701-29-0287;830-73-2137;264,00;;;
797;468-77-4288;178-82-4865;506,00;;;
798;776-97-0801;307-86-4146;939,00;;;
799;293-16-7638;322-84-0335;162,00;;;
800;652-85-6112;395-96-3422;386,00;;;
801;276-64-0016;726-98-9896;788,00;;;
802;776-52-9204;231-62-0816;375,00;;;
803;652-88-6983;505-06-4182;415,00;;;
804;830-73-2137;133-42-9805;919,00;;;
805;211-62-3861;114-49-3228;557,00;;;
806;381-51-7467;816-07-9951;910,00;;;
807;610-96-4049;316-16-8079;782,00;;;
808;776-52-9204;133-42-9805;633,00;;;
809;182-91-9414;577-36-4160;965,00;;;
810;350-76-4581;147-58-0553;608,00;;;
811;505-06-4182;811-96-4434;858,00;;;
812;879-10-1534;869-07-9041;63,00;;;
813;350-76-4581;585-26-7329;842,00;;;
814;827-17-8065;816-07-9951;777,00;;;
815;811-96-4434;746-67-6269;318,00;;;
816;350-76-4581;452-71-0670;637,00;;;
817;500-80-0113;592-89-3532;81,00;;;
818;452-71-0670;653-73-2887;938,00;;;
819;700-19-8202;276-64-0016;262,00;;;
820;542-47-0145;452-71-0670;615,00;;;
821;726-98-9896;322-84-0335;72,00;;;
822;653-73-2887;267-84-4305;185,00;;;
823;180-68-7704;381-51-7467;434,00;;;
824;114-77-8561;506-40-7881;724,00;;;
825;318-72-3945;867-72-5617;888,00;;;
826;505-06-4182;665-74-7482;867,00;;;
827;506-40-7881;711-12-7607;600,00;;;
828;585-26-7329;359-33-2805;753,00;;;
829;133-42-9805;879-10-1534;534,00;;;
830;231-60-2925;318-72-3945;335,00;;;
831;722-41-3663;211-62-3861;781,00;;;
832;745-18-6689;350-76-4581;592,00;;;
833;897-83-6353;484-85-3577;711,00;;;
834;838-85-9491;318-72-3945;171,00;;;
835;653-73-2887;212-63-7394;171,00;;;
836;147-58-0553;776-52-9204;76,00;;;
837;869-07-9041;468-77-4288;148,00;;;
838;106-52-3658;746-67-6269;753,00;;;
839;533-01-1119;293-16-7638;114,00;;;
840;815-75-0678;289-48-9142;332,00;;;
841;178-82-4865;604-17-4858;738,00;;;
842;194-28-1044;664-94-4158;220,00;;;
843;500-80-0113;776-52-9204;275,00;;;
844;867-72-5617;350-76-4581;821,00;;;
845;610-96-4049;508-38-2534;889,00;;;
846;266-07-5848;838-85-9491;305,00;;;
847;187-44-4055;665-74-7482;462,00;;;
848;182-91-9414;468-77-4288;784,00;;;
849;745-18-6689;645-83-0179;926,00;;;
850;736-74-0267;468-77-4288;324,00;;;
851;508-38-2534;187-44-4055;254,00;;;
852;616-64-4164;359-33-2805;403,00;;;
853;350-76-4581;533-01-1119;851,00;;;
854;231-60-2925;133-42-9805;388,00;;;
855;212-63-7394;745-18-6689;634,00;;;
856;359-33-2805;815-75-0678;127,00;;;
857;685-29-3762;897-83-6353;996,00;;;
858;776-97-0801;737-39-6279;99,00;;;
859;468-77-4288;187-44-4055;402,00;;;
860;884-38-3542;815-75-0678;87,00;;;
861;473-92-2173;211-62-3861;371,00;;;
862;178-82-4865;183-60-8437;944,00;;;
863;533-01-1119;722-67-8736;307,00;;;
864;132-36-8264;418-32-2400;593,00;;;
865;307-86-4146;811-96-4434;217,00;;;
866;811-96-4434;830-73-2137;434,00;;;
867;577-36-4160;423-59-5269;156,00;;;
868;468-77-4288;381-51-7467;675,00;;;
869;751-79-3881;665-74-7482;138,00;;;
870;132-36-8264;897-83-6353;377,00;;;
871;652-88-6983;187-44-4055;402,00;;;
872;505-06-4182;711-12-7607;994,00;;;
873;468-77-4288;857-48-4236;470,00;;;
874;816-07-9951;585-26-7329;660,00;;;
875;838-85-9491;815-75-0678;414,00;;;
876;685-29-3762;884-38-3542;145,00;;;
877;211-62-3861;830-73-2137;71,00;;;
878;418-32-2400;137-59-6823;428,00;;;
879;722-67-8736;231-60-2925;678,00;;;
880;884-38-3542;776-52-9204;496,00;;;
881;508-38-2534;293-16-7638;744,00;;;
882;814-47-7782;665-74-7482;648,00;;;
883;776-97-0801;418-32-2400;623,00;;;
884;776-52-9204;211-62-3861;594,00;;;
885;616-64-4164;363-69-7373;123,00;;;
886;484-97-3669;776-97-0801;531,00;;;
887;231-60-2925;736-74-0267;675,00;;;
888;180-68-7704;484-97-3669;76,00;;;
889;500-80-0113;266-07-5848;545,00;;;
890;867-72-5617;194-28-1044;991,00;;;
891;554-99-3518;380-33-3471;278,00;;;
892;745-18-6689;468-77-4288;285,00;;;
893;448-98-4201;183-60-8437;359,00;;;
894;722-67-8736;329-95-9039;701,00;;;
895;830-73-2137;869-07-9041;499,00;;;
896;506-40-7881;147-58-0553;954,00;;;
897;746-67-6269;542-47-0145;156,00;;;
898;231-62-0816;844-81-0333;620,00;;;
899;329-95-9039;312-06-7133;793,00;;;
900;106-52-3658;751-79-3881;226,00;;;
901;592-89-3532;542-47-0145;841,00;;;
902;418-32-2400;652-88-6983;317,00;;;
903;280-72-2823;884-38-3542;388,00;;;
904;132-36-8264;722-67-8736;993,00;;;
905;701-29-0287;147-58-0553;816,00;;;
906;114-77-8561;329-95-9039;795,00;;;
907;782-21-0023;280-72-2823;281,00;;;
908;505-06-4182;423-59-5269;239,00;;;
909;318-72-3945;554-99-3518;606,00;;;
910;114-77-8561;194-28-1044;303,00;;;
911;350-76-4581;468-77-4288;104,00;;;
912;508-38-2534;726-98-9896;151,00;;;
913;811-96-4434;307-86-4146;990,00;;;
914;722-67-8736;212-63-7394;159,00;;;
915;604-17-4858;423-59-5269;687,00;;;
916;132-36-8264;462-20-3505;620,00;;;
917;664-94-4158;468-77-4288;58,00;;;
918;448-98-4201;857-48-4236;737,00;;;
919;701-29-0287;643-85-8364;53,00;;;
920;653-73-2887;701-29-0287;678,00;;;
921;231-62-0816;867-72-5617;91,00;;;
922;592-89-3532;737-39-6279;961,00;;;
923;722-67-8736;848-01-9094;812,00;;;
924;266-07-5848;815-75-0678;841,00;;;
925;604-17-4858;484-85-3577;655,00;;;
926;230-71-0031;484-85-3577;831,00;;;
927;127-07-1934;645-83-0179;311,00;;;
928;745-18-6689;350-76-4581;304,00;;;
929;350-76-4581;811-29-1135;933,00;;;
930;418-32-2400;180-68-7704;359,00;;;
931;782-21-0023;751-79-3881;648,00;;;
932;701-29-0287;289-48-9142;765,00;;;
933;114-77-8561;106-52-3658;592,00;;;
934;440-96-4450;585-26-7329;652,00;;;
935;484-97-3669;726-98-9896;461,00;;;
936;359-33-2805;183-60-8437;626,00;;;
937;147-58-0553;652-85-6112;607,00;;;
938;645-83-0179;381-51-7467;591,00;;;
939;827-17-8065;350-76-4581;890,00;;;
940;505-06-4182;869-07-9041;465,00;;;
941;293-16-7638;230-71-0031;477,00;;;
942;363-69-7373;652-88-6983;838,00;;;
943;322-84-0335;645-83-0179;968,00;;;
944;857-48-4236;178-82-4865;899,00;;;
945;276-64-0016;505-06-4182;89,00;;;
946;276-64-0016;827-17-8065;52,00;;;
947;127-07-1934;468-77-4288;313,00;;;
948;183-60-8437;448-98-4201;611,00;;;
949;848-01-9094;533-01-1119;306,00;;;
950;665-74-7482;380-33-3471;108,00;;;
951;827-17-8065;577-36-4160;340,00;;;
952;322-84-0335;452-71-0670;862,00;;;
953;722-67-8736;114-49-3228;520,00;;;
954;132-36-8264;212-63-7394;156,00;;;
955;722-67-8736;473-92-2173;743,00;;;
956;844-81-0333;484-97-3669;775,00;;;
957;592-89-3532;830-73-2137;868,00;;;
958;267-84-4305;508-38-2534;258,00;;;
959;329-95-9039;147-58-0553;270,00;;;
960;183-60-8437;726-98-9896;706,00;;;
961;473-92-2173;380-33-3471;682,00;;;
962;363-69-7373;506-40-7881;715,00;;;
963;811-96-4434;211-62-3861;942,00;;;
964;180-68-7704;838-85-9491;310,00;;;
965;604-17-4858;700-19-8202;970,00;;;
966;468-77-4288;652-88-6983;708,00;;;
967;616-64-4164;312-06-7133;266,00;;;
968;448-98-4201;350-76-4581;319,00;;;
969;736-74-0267;106-52-3658;816,00;;;
970;776-52-9204;736-74-0267;716,00;;;
971;652-88-6983;363-69-7373;800,00;;;
972;127-07-1934;711-12-7607;494,00;;;
973;211-62-3861;508-38-2534;769,00;;;
974;737-39-6279;276-64-0016;91,00;;;
975;726-98-9896;585-26-7329;775,00;;;
976;137-59-6823;722-67-8736;814,00;;;
977;484-85-3577;440-96-4450;100,00;;;
978;127-07-1934;194-28-1044;810,00;;;
979;293-16-7638;830-73-2137;802,00;;;
980;266-07-5848;585-26-7329;857,00;;;
981;751-79-3881;745-18-6689;89,00;;;
982;329-95-9039;701-29-0287;909,00;;;
983;884-38-3542;322-84-0335;291,00;;;
984;751-79-3881;533-01-1119;933,00;;;
985;616-64-4164;542-47-0145;362,00;;;
986;782-21-0023;857-48-4236;430,00;;;
987;844-81-0333;879-10-1534;889,00;;;
988;289-48-9142;782-21-0023;679,00;;;
989;106-52-3658;187-44-4055;139,00;;;
990;830-73-2137;322-84-0335;958,00;;;
991;462-20-3505;230-71-0031;884,00;;;
992;652-88-6983;231-60-2925;723,00;;;
993;183-60-8437;178-82-4865;720,00;;;
994;857-48-4236;132-36-8264;989,00;;;
995;830-73-2137;231-60-2925;604,00;;;
996;137-59-6823;114-49-3228;689,00;;;
997;114-49-3228;312-06-7133;332,00;;;
998;312-06-7133;468-77-4288;997,00;;;
999;665-74-7482;359-33-2805;89,00;;;
1000;838-85-9491;811-96-4434;342,00;;;
