id,person_id1,person_id2
874,816-07-9951,585-26-7329
875,838-85-9491,815-75-0678
876,685-29-3762,884-38-3542
877,211-62-3861,830-73-2137
878,418-32-2400,137-59-6823
879,722-67-8736,231-60-2925
880,884-38-3542,776-52-9204
881,508-38-2534,293-16-7638
882,814-47-7782,665-74-7482
883,776-97-0801,418-32-2400
884,776-52-9204,211-62-3861
885,616-64-4164,363-69-7373
886,484-97-3669,776-97-0801
887,231-60-2925,736-74-0267
888,180-68-7704,484-97-3669
889,500-80-0113,266-07-5848
890,867-72-5617,194-28-1044
891,554-99-3518,380-33-3471
892,745-18-6689,468-77-4288
893,448-98-4201,183-60-8437
894,722-67-8736,329-95-9039
895,830-73-2137,869-07-9041
896,506-40-7881,147-58-0553
897,746-67-6269,542-47-0145
898,231-62-0816,844-81-0333
899,329-95-9039,312-06-7133
900,106-52-3658,751-79-3881
901,592-89-3532,542-47-0145
902,418-32-2400,652-88-6983
903,280-72-2823,884-38-3542
904,132-36-8264,722-67-8736
905,701-29-0287,147-58-0553
906,114-77-8561,329-95-9039
907,782-21-0023,280-72-2823
908,505-06-4182,423-59-5269
909,318-72-3945,554-99-3518
910,114-77-8561,194-28-1044
911,350-76-4581,468-77-4288
912,508-38-2534,726-98-9896
913,811-96-4434,307-86-4146
914,722-67-8736,212-63-7394
915,604-17-4858,423-59-5269
916,132-36-8264,462-20-3505
917,664-94-4158,468-77-4288
918,448-98-4201,857-48-4236
919,701-29-0287,643-85-8364
920,653-73-2887,701-29-0287
921,231-62-0816,867-72-5617
922,592-89-3532,737-39-6279
923,722-67-8736,848-01-9094
924,266-07-5848,815-75-0678
925,604-17-4858,484-85-3577
926,230-71-0031,484-85-3577
927,127-07-1934,645-83-0179
928,745-18-6689,350-76-4581
929,350-76-4581,811-29-1135
930,418-32-2400,180-68-7704
931,782-21-0023,751-79-3881
932,701-29-0287,289-48-9142
933,114-77-8561,106-52-3658
934,440-96-4450,585-26-7329
935,484-97-3669,726-98-9896
936,359-33-2805,183-60-8437
937,147-58-0553,652-85-6112
938,645-83-0179,381-51-7467
939,827-17-8065,350-76-4581
940,505-06-4182,869-07-9041
941,293-16-7638,230-71-0031
942,363-69-7373,652-88-6983
943,322-84-0335,645-83-0179
944,857-48-4236,178-82-4865
945,276-64-0016,505-06-4182
946,276-64-0016,827-17-8065
947,127-07-1934,468-77-4288
948,183-60-8437,448-98-4201
949,848-01-9094,533-01-1119
950,665-74-7482,380-33-3471
951,827-17-8065,577-36-4160
952,322-84-0335,452-71-0670
953,722-67-8736,114-49-3228
954,132-36-8264,212-63-7394
955,722-67-8736,473-92-2173
956,844-81-0333,484-97-3669
957,592-89-3532,830-73-2137
958,267-84-4305,508-38-2534
959,329-95-9039,147-58-0553
960,183-60-8437,726-98-9896
961,473-92-2173,380-33-3471
962,363-69-7373,506-40-7881
963,811-96-4434,211-62-3861
964,180-68-7704,838-85-9491
965,604-17-4858,700-19-8202
966,468-77-4288,652-88-6983
967,616-64-4164,312-06-7133
968,448-98-4201,350-76-4581
969,736-74-0267,106-52-3658
970,776-52-9204,736-74-0267
971,652-88-6983,363-69-7373
972,127-07-1934,711-12-7607
973,211-62-3861,508-38-2534
974,737-39-6279,276-64-0016
975,726-98-9896,585-26-7329
976,137-59-6823,722-67-8736
977,484-85-3577,440-96-4450
978,127-07-1934,194-28-1044
979,293-16-7638,830-73-2137
980,266-07-5848,585-26-7329
981,751-79-3881,745-18-6689
982,329-95-9039,701-29-0287
983,884-38-3542,322-84-0335
984,751-79-3881,533-01-1119
985,616-64-4164,542-47-0145
986,782-21-0023,857-48-4236
987,844-81-0333,879-10-1534
988,289-48-9142,782-21-0023
989,106-52-3658,187-44-4055
990,830-73-2137,322-84-0335
991,462-20-3505,230-71-0031
992,652-88-6983,231-60-2925
993,183-60-8437,178-82-4865
994,857-48-4236,132-36-8264
995,830-73-2137,231-60-2925
996,137-59-6823,114-49-3228
997,114-49-3228,312-06-7133
998,312-06-7133,468-77-4288
999,665-74-7482,359-33-2805
1000,838-85-9491,811-96-4434
